node_x,node_y,node_flat,medoid_index,time,label_raw,label,majority_label,representative_label,match,distance
0,0,0,744,1993/01/14,4B,4B,1+4B,1+4B,False,418.4716796875
0,1,1,2610,1998/02/23,3B+4B,,2D,2D,False,347.53729248046875
0,2,2,1045,1993/11/11,3C+2C,,4B,4B,False,320.2936706542969
0,3,3,754,1993/01/24,4B,4B,4B,4B,True,360.1939392089844
0,4,4,224,1991/08/13,3A,3A,3A,3A,True,391.4797668457031
0,5,5,981,1993/09/08,4B+6A,,4A,4A,False,344.4585876464844
0,6,6,3113,1999/07/11,2C+4A,,4A,4A,False,325.7302551269531
0,7,7,2344,1997/06/02,3A-2A,,2D,2D,False,329.3863830566406
0,8,8,2345,1997/06/03,2A-4B,,2B,2B,False,312.111572265625
0,9,9,859,1993/05/09,2C,2C,2C,2C,True,334.2486572265625
1,0,10,2118,1996/10/19,1+4B,,2D,2D,False,311.5325622558594
1,1,11,656,1992/10/18,3C,3C,3C,3C,True,364.05047607421875
1,2,12,87,1991/03/29,3A,3A,3B,3B,False,433.9027099609375
1,3,13,1741,1995/10/08,2A+4B,,3B,3B,False,295.7153015136719
1,4,14,2111,1996/10/12,3C+4B,,3A+4B,3A+4B,False,333.5552062988281
1,5,15,148,1991/05/29,3A-4B,,3A+4B,3A+4B,False,402.7619323730469
1,6,16,95,1991/04/06,2A+4B,,4B,4B,False,337.1422119140625
1,7,17,1301,1994/07/25,5+6A,,3A+4B,3A+4B,False,328.52825927734375
1,8,18,3170,1999/09/06,2B,2B,4A,4A,False,294.091552734375
1,9,19,1332,1994/08/25,3A+5,,4A,4A,False,224.61581420898438
2,0,20,2615,1998/02/28,2B+4B,,2D,2D,False,432.1211242675781
2,1,21,1845,1996/01/20,2D,2D,2D,2D,True,350.3477783203125
2,2,22,2297,1997/04/16,3B,3B,3B,3B,True,330.2164001464844
2,3,23,2456,1997/09/22,3A+4B,,3B,3B,False,343.7443542480469
2,4,24,1337,1994/08/30,4A+5,,3B,3B,False,302.97833251953125
2,5,25,497,1992/05/12,3B+4B,,3B+4B,3B+4B,True,319.45416259765625
2,6,26,1251,1994/06/05,4B,4B,5,5,False,297.5318298339844
2,7,27,889,1993/06/08,3B-2C,,3A,3A,False,267.8941650390625
2,8,28,1331,1994/08/24,3A+5,,3A+4B,3A+4B,False,205.05113220214844
2,9,29,1612,1995/06/01,3B+4B,,3B,3B,False,314.7890625
3,0,30,1,1991/01/02,2C-1,,1+2A,1+2A,False,323.72503662109375
3,1,31,1924,1996/04/08,1+4B,,1+4B,1+4B,True,332.6648864746094
3,2,32,2203,1997/01/12,1,1,3B,3B,False,343.7541809082031
3,3,33,432,1992/03/08,3B,3B,3B,3B,True,389.6640930175781
3,4,34,2505,1997/11/10,3B,3B,3B,3B,True,326.5491638183594
3,5,35,602,1992/08/25,5+4A,,3B,3B,False,312.13818359375
3,6,36,961,1993/08/19,4A,4A,4A,4A,True,276.89959716796875
3,7,37,1676,1995/08/04,4A+5,,3B+4B,3B+4B,False,284.01617431640625
3,8,38,946,1993/08/04,3A+4B,,3A+4A,3A+4A,False,240.19581604003906
3,9,39,3157,1999/08/24,2D+4A,,2D,2D,False,296.7420654296875
4,0,40,13,1991/01/14,1,1,1,1,True,327.91363525390625
4,1,41,38,1991/02/08,4A,4A,1,1,False,363.54327392578125
4,2,42,731,1993/01/01,3B,3B,3B,3B,True,295.162353515625
4,3,43,2163,1996/12/03,3B,3B,3B,3B,True,318.9706115722656
4,4,44,2298,1997/04/17,3B,3B,3B,3B,True,333.182861328125
4,5,45,973,1993/08/31,3B+4B,,3D,3D,False,306.2689208984375
4,6,46,2021,1996/07/14,4A+5,,3B,3B,False,306.8650817871094
4,7,47,1691,1995/08/19,4A+5,,4A,4A,False,242.08033752441406
4,8,48,3106,1999/07/04,3B+4B,,4A,4A,False,297.419677734375
4,9,49,1638,1995/06/27,2A+4B,,4A,4A,False,283.5193786621094
5,0,50,1513,1995/02/22,1,1,1,1,True,288.7227783203125
5,1,51,1477,1995/01/17,1,1,1,1,True,327.4512634277344
5,2,52,2492,1997/10/28,1,1,1,1,True,253.78717041015625
5,3,53,2603,1998/02/16,1,1,3B,3B,False,383.5455322265625
5,4,54,2230,1997/02/08,2A+2C,,3B,3B,False,337.5581970214844
5,5,55,1729,1995/09/26,4B,4B,2B,2B,False,396.6764831542969
5,6,56,1247,1994/06/01,3C+4B,,4A,4A,False,283.38153076171875
5,7,57,875,1993/05/25,2A+4B,,4B,4B,False,297.5949401855469
5,8,58,1993,1996/06/16,3A+4A,,4A+5,4A+5,False,274.2164611816406
5,9,59,1639,1995/06/28,4B,4B,4A,4A,False,295.0628662109375
6,0,60,1493,1995/02/02,1,1,1,1,True,345.5380554199219
6,1,61,1831,1996/01/06,3C,3C,1,1,False,357.171142578125
6,2,62,742,1993/01/12,1+4B,,1,1,False,285.4730224609375
6,3,63,365,1992/01/01,2D,2D,3B,3B,False,263.73968505859375
6,4,64,2864,1998/11/04,2A+3B,,2A+3D,2A+3D,False,350.0110778808594
6,5,65,322,1991/11/19,2B+3C,,2A+2C,2A+2C,False,367.1498718261719
6,6,66,1349,1994/09/11,2A+6B,,2A,2A,False,381.7296447753906
6,7,67,1245,1994/05/30,2C+4B,,2A+4B,2A+4B,False,330.12841796875
6,8,68,2740,1998/07/03,4A+5,,4A+5,4A+5,True,268.9884338378906
6,9,69,896,1993/06/15,4A,4A,4A,4A,True,292.7727966308594
7,0,70,31,1991/02/01,1,1,1,1,True,336.8624267578125
7,1,71,1806,1995/12/12,2C-1,,1,1,False,312.6695556640625
7,2,72,367,1992/01/03,1,1,1,1,True,303.0166320800781
7,3,73,317,1991/11/14,1,1,1,1,True,268.7921142578125
7,4,74,405,1992/02/10,2A+2C,,2A+2C,2A+2C,True,295.6295166015625
7,5,75,1738,1995/10/05,2B+4B,,2D,2D,False,377.4119873046875
7,6,76,2289,1997/04/08,2A+3D,,2A,2A,False,379.3128356933594
7,7,77,164,1991/06/14,2A+4B,,2A+4B,2A+4B,True,329.57281494140625
7,8,78,2386,1997/07/14,4A,4A,4A+5,4A+5,False,315.06610107421875
7,9,79,2745,1998/07/08,4A+5,,4A,4A,False,342.9130859375
