node_x,node_y,node_flat,true_medoid_index,time,label_raw,label,avg_distance_in_node
0,0,0,1041,1993/11/07,3C+4A,,790.843505859375
0,1,1,2610,1998/02/23,3B+4B,,643.2319946289062
0,2,2,1045,1993/11/11,3C+2C,,656.3217163085938
0,3,3,754,1993/01/24,4B,4B,713.9744873046875
0,4,4,224,1991/08/13,3A,3A,741.5765380859375
0,5,5,981,1993/09/08,4B+6A,,685.6265258789062
0,6,6,3113,1999/07/11,2C+4A,,597.0511474609375
0,7,7,196,1991/07/16,4A,4A,611.9774780273438
0,8,8,2345,1997/06/03,2A-4B,,581.664794921875
0,9,9,859,1993/05/09,2C,2C,618.1774291992188
1,0,10,2118,1996/10/19,1+4B,,644.36474609375
1,1,11,3285,1999/12/30,3C,3C,606.1181030273438
1,2,12,87,1991/03/29,3A,3A,703.3585815429688
1,3,13,1741,1995/10/08,2A+4B,,575.8642578125
1,4,14,2111,1996/10/12,3C+4B,,636.0042114257812
1,5,15,148,1991/05/29,3A-4B,,685.6603393554688
1,6,16,95,1991/04/06,2A+4B,,610.0322875976562
1,7,17,1301,1994/07/25,5+6A,,532.936279296875
1,8,18,1284,1994/07/08,4A+5,,490.5198059082031
1,9,19,1332,1994/08/25,3A+5,,479.7510986328125
2,0,20,2615,1998/02/28,2B+4B,,788.7107543945312
2,1,21,1845,1996/01/20,2D,2D,643.1891479492188
2,2,22,2297,1997/04/16,3B,3B,600.1387939453125
2,3,23,2456,1997/09/22,3A+4B,,624.1334838867188
2,4,24,1337,1994/08/30,4A+5,,590.0914306640625
2,5,25,497,1992/05/12,3B+4B,,609.2053833007812
2,6,26,1251,1994/06/05,4B,4B,572.156982421875
2,7,27,889,1993/06/08,3B-2C,,504.8368835449219
2,8,28,1331,1994/08/24,3A+5,,451.7791442871094
2,9,29,1612,1995/06/01,3B+4B,,555.2257690429688
3,0,30,1,1991/01/02,2C-1,,751.786376953125
3,1,31,1924,1996/04/08,1+4B,,623.112548828125
3,2,32,2618,1998/03/03,3B,3B,642.7027587890625
3,3,33,432,1992/03/08,3B,3B,685.8070068359375
3,4,34,2505,1997/11/10,3B,3B,574.7280883789062
3,5,35,602,1992/08/25,5+4A,,582.3660278320312
3,6,36,961,1993/08/19,4A,4A,483.9047546386719
3,7,37,1676,1995/08/04,4A+5,,517.605712890625
3,8,38,946,1993/08/04,3A+4B,,461.39019775390625
3,9,39,3157,1999/08/24,2D+4A,,564.1987915039062
4,0,40,13,1991/01/14,1,1,663.22998046875
4,1,41,38,1991/02/08,4A,4A,684.9186401367188
4,2,42,731,1993/01/01,3B,3B,604.1651000976562
4,3,43,2163,1996/12/03,3B,3B,560.11181640625
4,4,44,2298,1997/04/17,3B,3B,571.9735717773438
4,5,45,973,1993/08/31,3B+4B,,588.0242919921875
