node_x,node_y,node_flat,medoid_index,time,label_raw,label,majority_label,representative_label,match,distance
0,0,0,2789,1998/08/21,4A,4A,4A,4A,True,60.98659133911133
0,1,1,574,1992/07/28,5,5,2A+4B,2A+4B,False,57.563262939453125
0,2,2,1583,1995/05/03,2A+4B,,2A,2A,False,56.71354293823242
0,3,3,529,1992/06/13,4B,4B,2A+4B,2A+4B,False,54.66128921508789
0,4,4,897,1993/06/16,4A,4A,4A,4A,True,54.80156707763672
0,5,5,2782,1998/08/14,4A,4A,4A,4A,True,59.1155891418457
0,6,6,2766,1998/07/29,4A+5,,4A,4A,False,51.91795349121094
0,7,7,946,1993/08/04,3A+4B,,3A+4B,3A+4B,True,55.74554443359375
0,8,8,932,1993/07/21,4B,4B,3A+4B,3A+4B,False,60.74087142944336
0,9,9,3114,1999/07/12,2C+4A,,4A,4A,False,55.93476867675781
1,0,10,909,1993/06/28,4A,4A,3B,3B,False,57.78446960449219
1,1,11,2108,1996/10/09,2A+4B,,3B,3B,False,48.68310546875
1,2,12,1765,1995/11/01,1+2A,,2A,2A,False,54.68880844116211
1,3,13,3061,1999/05/20,2A,2A,2A+4B,2A+4B,False,56.93491744995117
1,4,14,154,1991/06/04,4B,4B,2D,2D,False,61.57756805419922
1,5,15,925,1993/07/14,2B+4A,,2D,2D,False,61.73945999145508
1,6,16,896,1993/06/15,4A,4A,4A,4A,True,56.38698196411133
1,7,17,939,1993/07/28,2B+4A,,4A,4A,False,57.964012145996094
1,8,18,580,1992/08/03,4B+6A,,4B+6A,4B+6A,True,50.38816452026367
1,9,19,3139,1999/08/06,5+6A,,5+6A,5+6A,True,56.12373352050781
2,0,20,3055,1999/05/14,3C+4B,,3B,3B,False,63.97965621948242
2,1,21,1028,1993/10/25,1,1,1,1,True,54.3387336730957
2,2,22,2491,1997/10/27,1,1,1,1,True,50.28261947631836
2,3,23,1795,1995/12/01,1+2A,,1+2A,1+2A,True,53.81703186035156
2,4,24,2847,1998/10/18,2A,2A,2D,2D,False,60.85906982421875
2,5,25,1955,1996/05/09,2D,2D,2D,2D,True,64.13117980957031
2,6,26,1995,1996/06/18,2B+4A,,2B+4A,2B+4A,True,57.72102737426758
2,7,27,936,1993/07/25,4A+6B,,3A+4A,3A+4A,False,56.79948806762695
2,8,28,1328,1994/08/21,3A+6A,,4A,4A,False,64.01620483398438
2,9,29,229,1991/08/18,6A+3A,,3A+6A,3A+6A,False,54.57661437988281
3,0,30,2567,1998/01/11,2C,2C,3B,3B,False,62.26683807373047
3,1,31,33,1991/02/03,1,1,1,1,True,47.1869010925293
3,2,32,32,1991/02/02,1,1,1,1,True,44.52350616455078
3,3,33,2964,1999/02/12,1,1,1,1,True,52.88025665283203
3,4,34,430,1992/03/06,1,1,2D,2D,False,56.3599967956543
3,5,35,2837,1998/10/08,2C-1,,2D,2D,False,58.7829704284668
3,6,36,2710,1998/06/03,3D,3D,2D,2D,False,64.5650634765625
3,7,37,981,1993/09/08,4B+6A,,4B+6A,4B+6A,True,58.88270950317383
3,8,38,1622,1995/06/11,3A+4B,,4B,4B,False,46.9132080078125
3,9,39,225,1991/08/14,3A,3A,3A,3A,True,64.55721282958984
4,0,40,1808,1995/12/14,2B+3D,,3B,3B,False,52.57614517211914
4,1,41,752,1993/01/22,1,1,1,1,True,48.465492248535156
4,2,42,2235,1997/02/13,1,1,1,1,True,47.051944732666016
4,3,43,1809,1995/12/15,2D-1,,1,1,False,49.41790771484375
4,4,44,1496,1995/02/05,2D,2D,2D,2D,True,59.074371337890625
4,5,45,1755,1995/10/22,4B+6B,,2C,2C,False,65.18485260009766
4,6,46,1353,1994/09/15,4B,4B,4A+6A,4A+6A,False,63.21310043334961
4,7,47,2823,1998/09/24,3A+4A,,2B+4B,2B+4B,False,64.79131317138672
