node_x,node_y,node_flat,true_medoid_index,time,label_raw,label,avg_distance_in_node
0,0,0,2313,1997/05/02,2A+5,,74.6483383178711
0,1,1,3088,1999/06/16,2A+5,,72.31400299072266
0,2,2,1714,1995/09/11,2A+4A,,72.1976089477539
0,3,3,529,1992/06/13,4B,4B,72.01837158203125
0,4,4,897,1993/06/16,4A,4A,72.4307632446289
0,5,5,188,1991/07/08,2B+4A,,72.7039794921875
0,6,6,2766,1998/07/29,4A+5,,68.577392578125
0,7,7,946,1993/08/04,3A+4B,,73.0508804321289
0,8,8,1633,1995/06/22,3A+4B,,72.18708801269531
0,9,9,3115,1999/07/13,2C,2C,72.20663452148438
1,0,10,2316,1997/05/05,3B,3B,72.47474670410156
1,1,11,2108,1996/10/09,2A+4B,,66.1927261352539
1,2,12,1198,1994/04/13,2A+4B,,68.54562377929688
1,3,13,3061,1999/05/20,2A,2A,69.15431213378906
1,4,14,154,1991/06/04,4B,4B,68.05867004394531
1,5,15,925,1993/07/14,2B+4A,,72.33299255371094
1,6,16,896,1993/06/15,4A,4A,67.13103485107422
1,7,17,941,1993/07/30,6B,6B,66.23513793945312
1,8,18,580,1992/08/03,4B+6A,,49.59381103515625
1,9,19,3139,1999/08/06,5+6A,,68.05007934570312
2,0,20,1570,1995/04/20,2A-3B,,73.1766586303711
2,1,21,1028,1993/10/25,1,1,67.49461364746094
2,2,22,1432,1994/12/03,2A-1,,65.31592559814453
2,3,23,2898,1998/12/08,2D-1,,66.54840087890625
2,4,24,2847,1998/10/18,2A,2A,73.90507507324219
2,5,25,1596,1995/05/16,2C,2C,73.78284454345703
2,6,26,1995,1996/06/18,2B+4A,,69.08984375
2,7,27,936,1993/07/25,4A+6B,,69.438232421875
2,8,28,1328,1994/08/21,3A+6A,,74.99519348144531
2,9,29,229,1991/08/18,6A+3A,,73.1664047241211
3,0,30,803,1993/03/14,3D+1,,74.93450164794922
3,1,31,9,1991/01/10,1+3D,,66.64527130126953
3,2,32,2932,1999/01/11,1,1,61.355369567871094
3,3,33,382,1992/01/18,2A-1,,67.41136169433594
3,4,34,746,1993/01/16,2D,2D,70.75003814697266
3,5,35,2837,1998/10/08,2C-1,,72.62303924560547
3,6,36,3060,1999/05/19,2D,2D,74.8531494140625
3,7,37,981,1993/09/08,4B+6A,,59.85375213623047
3,8,38,933,1993/07/22,4B,4B,40.53312683105469
3,9,39,225,1991/08/14,3A,3A,77.168701171875
4,0,40,28,1991/01/29,1,1,69.1119613647461
4,1,41,2922,1999/01/01,1,1,62.87683868408203
4,2,42,363,1991/12/30,1,1,62.72464370727539
4,3,43,1809,1995/12/15,2D-1,,64.77031707763672
4,4,44,1496,1995/02/05,2D,2D,72.4471435546875
4,5,45,1907,1996/03/22,2D,2D,77.26851654052734
4,6,46,1354,1994/09/16,2C+4A,,68.8394775390625
4,7,47,1352,1994/09/14,4B,4B,74.4677963256836
4,8,48,536,1992/06/20,2D+4B,,62.86729431152344
4,9,49,1618,1995/06/07,3A+4B,,76.28268432617188
5,0,50,1126,1994/01/31,3B,3B,64.67672729492188
5,1,51,1462,1995/01/02,1-3B,,61.551170349121094
5,2,52,3254,1999/11/29,1,1,65.09808349609375
5,3,53,2145,1996/11/15,1,1,64.95562744140625
5,4,54,744,1993/01/14,4B,4B,66.88167572021484
5,5,55,429,1992/03/05,2C,2C,73.2072982788086
5,6,56,3185,1999/09/21,4A,4A,67.62242126464844
5,7,57,3092,1999/06/20,3A+4B,,0.0
5,8,58,1266,1994/06/20,2D+4B,,66.21585083007812
5,9,59,2730,1998/06/23,3A+4A,,73.24634552001953
6,0,60,2529,1997/12/04,3B,3B,64.39334869384766
6,1,61,666,1992/10/28,3B,3B,63.95823287963867
6,2,62,2146,1996/11/16,1,1,65.90837097167969
6,3,63,292,1991/10/20,2C+1,,67.14344787597656
6,4,64,1112,1994/01/17,2A+2B,,68.68267059326172
6,5,65,20,1991/01/21,2D,2D,73.81004333496094
6,6,66,3183,1999/09/19,4A+6A,,72.97100067138672
6,7,67,3148,1999/08/15,2C,2C,72.6356430053711
6,8,68,3095,1999/06/23,4A,4A,70.92827606201172
6,9,69,1647,1995/07/06,4A,4A,70.652587890625
7,0,70,2110,1996/10/11,3B+4B,,69.42137145996094
7,1,71,1018,1993/10/15,3B,3B,65.52017974853516
7,2,72,1017,1993/10/14,3C,3C,71.21708679199219
7,3,73,684,1992/11/15,3B+2A,,70.18168640136719
7,4,74,326,1991/11/23,2A+3D,,68.48542022705078
7,5,75,2521,1997/11/26,2B,2B,72.40107727050781
7,6,76,3135,1999/08/02,5+6A,,73.04237365722656
7,7,77,2791,1998/08/23,4B+5,,71.70655822753906
7,8,78,1334,1994/08/27,4A+5,,69.7778549194336
7,9,79,2771,1998/08/03,4A+5,,69.57521057128906
8,0,80,985,1993/09/12,3A+4B,,73.2486801147461
8,1,81,258,1991/09/16,3A+4B,,64.66727447509766
8,2,82,3199,1999/10/05,3C+4B,,72.4888687133789
8,3,83,1015,1993/10/12,2A+3C,,66.64645385742188
8,4,84,2151,1996/11/21,2A+2C,,68.9621810913086
8,5,85,1568,1995/04/18,2A+4B,,68.16544342041016
8,6,86,1241,1994/05/26,2D,2D,69.19786071777344
8,7,87,600,1992/08/23,5,5,62.2387580871582
8,8,88,1653,1995/07/12,4A,4A,68.63079833984375
8,9,89,1680,1995/08/08,4A+5,,71.29621887207031
9,0,90,2658,1998/04/12,3A,3A,77.43350219726562
9,1,91,1619,1995/06/08,3A+4B,,69.68106079101562
9,2,92,2840,1998/10/11,3B,3B,71.38897705078125
9,3,93,325,1991/11/22,3B,3B,68.92239379882812
9,4,94,1038,1993/11/04,3C,3C,69.87947082519531
9,5,95,1572,1995/04/22,2A+4A,,72.86253356933594
9,6,96,159,1991/06/09,3B-4A,,70.7779312133789
9,7,97,3132,1999/07/30,4A+5,,70.87100219726562
9,8,98,2745,1998/07/08,4A+5,,73.009521484375
9,9,99,2407,1997/08/04,4A+5,,73.55901336669922
