iteration,MacroRecall_majority,MacroRecall_composite,QuantizationError,NodewiseMatchRate
10,0.26197925937981387,0.19380828962682742,0.036549072770460204,0.35353535353535354
20,0.2653514984082858,0.19711789048218759,0.036661878921791964,0.36082474226804123
30,0.26868946101776714,0.19860063875303335,0.035968054671906974,0.37755102040816324
40,0.25218436967562496,0.18543747608612157,0.0332208823606458,0.42857142857142855
50,0.244693209163436,0.1884896333407238,0.03163535209785742,0.3711340206185567
60,0.23246658027298756,0.1834646159970661,0.030983306152464446,0.40404040404040403
70,0.23681991374341582,0.18752169433146398,0.030611885692850595,0.37373737373737376
80,0.24069806134425906,0.1846404240750664,0.030235392872526322,0.4444444444444444
90,0.24605251329224323,0.1862900692704799,0.029777548978275756,0.37373737373737376
100,0.24209789954236083,0.1897126752589024,0.029449378316221825,0.3838383838383838
110,0.23722491420635639,0.18448968827343334,0.029297870816450407,0.3838383838383838
120,0.24552225581008855,0.19128510883200356,0.029209219288746202,0.45918367346938777
130,0.24344831192504557,0.18822291314344217,0.029236063392901444,0.42857142857142855
140,0.2512685977864792,0.18724678880207926,0.02885960372052078,0.37755102040816324
150,0.25941107668002267,0.191072159229591,0.02861298925796105,0.37373737373737376
160,0.2582645904120203,0.18977614185304217,0.02830422892917207,0.40404040404040403
170,0.25716049948162106,0.18807730257834715,0.02809538582301916,0.41414141414141414
180,0.25212981921192246,0.1880077727984529,0.028008103116798227,0.40816326530612246
190,0.2610944054184604,0.19061414809484348,0.027862058064478452,0.3939393939393939
200,0.25315983463163705,0.18863126500720592,0.027718020783828536,0.40816326530612246
210,0.24953523226186797,0.18486422166782782,0.027506039358034008,0.41414141414141414
220,0.2501072607525472,0.185858174890431,0.027365628585722588,0.4444444444444444
230,0.25677872714941985,0.18982846182011093,0.02732259827542167,0.4444444444444444
240,0.24739935538511257,0.18969928279280518,0.027299996491511398,0.4489795918367347
250,0.2562917828241659,0.19385770874133482,0.027217161557505403,0.4897959183673469
260,0.264719896843969,0.19732013393215536,0.027079823461752514,0.45
270,0.2684117913260025,0.19918687292992113,0.02705291886441353,0.46
280,0.27501478967658244,0.20156685229681678,0.02718025817673802,0.52
290,0.28254774323185977,0.1994764003883204,0.027161515589575656,0.45
300,0.28568426033859956,0.19867177642008374,0.027142490048085006,0.45
310,0.2879626875905925,0.19970428677412508,0.02704940387678248,0.47
320,0.28255621754645655,0.2099097973276999,0.02731927027991016,0.44
