node_x,node_y,node_flat,true_medoid_index,time,label_raw,label,avg_distance_in_node
0,0,0,1124,1994/01/29,1,1,0.7666847109794617
0,1,1,1848,1996/01/23,1+2D,,0.762494683265686
0,2,2,1127,1994/02/01,2A+2C,,0.7471835017204285
0,3,3,1065,1993/12/01,2B,2B,0.7967512607574463
0,4,4,1916,1996/03/31,2A-1,,0.7923161387443542
0,5,5,2315,1997/05/04,2A+2C,,0.7784576416015625
0,6,6,1198,1994/04/13,2A+4B,,0.7772415280342102
0,7,7,1242,1994/05/27,2A+2B,,0.7903677821159363
0,8,8,1616,1995/06/05,2A+2B,,0.8158223628997803
0,9,9,953,1993/08/11,6B-2A,,0.800798773765564
1,0,10,2161,1996/12/01,1+2D,,0.7218287587165833
1,1,11,1444,1994/12/15,1+3C,,0.7699469327926636
1,2,12,1460,1994/12/31,1+2C,,0.7877840995788574
1,3,13,2151,1996/11/21,2A+2C,,0.7885458469390869
1,4,14,2106,1996/10/07,2A+4A,,0.789602518081665
1,5,15,1585,1995/05/05,2A+4B,,0.7846955060958862
1,6,16,204,1991/07/24,5+4A,,0.74310302734375
1,7,17,565,1992/07/19,2A-5,,0.7694489359855652
1,8,18,897,1993/06/16,4A,4A,0.7946186065673828
1,9,19,2722,1998/06/15,2D+4B,,0.7928376793861389
2,0,20,9,1991/01/10,1+3D,,0.7359793782234192
2,1,21,791,1993/03/02,1,1,0.7453104257583618
2,2,22,1167,1994/03/13,1+4B,,0.7647666335105896
2,3,23,292,1991/10/20,2C+1,,0.7449480295181274
2,4,24,2639,1998/03/24,3C+4B,,0.7648345828056335
2,5,25,2666,1998/04/20,3D,3D,0.8018785119056702
2,6,26,203,1991/07/23,5+4A,,0.7711607217788696
2,7,27,2739,1998/07/02,4A+5,,0.8067527413368225
2,8,28,2326,1997/05/15,2A+4B,,0.7903310656547546
2,9,29,2766,1998/07/29,4A+5,,0.7868570685386658
3,0,30,383,1992/01/19,1,1,0.7145759463310242
3,1,31,2584,1998/01/28,1+2C,,0.7398343682289124
3,2,32,685,1992/11/16,2A+4B,,0.7514203190803528
3,3,33,2903,1998/12/13,3C,3C,0.7373107671737671
3,4,34,2873,1998/11/13,3C,3C,0.7460663914680481
3,5,35,3084,1999/06/12,3B+4B,,0.804128110408783
3,6,36,1225,1994/05/10,3C,3C,0.8184608817100525
3,7,37,2599,1998/02/12,2A,2A,0.7759294509887695
3,8,38,187,1991/07/07,4A,4A,0.7824219465255737
3,9,39,1994,1996/06/17,4A,4A,0.8179668188095093
4,0,40,1445,1994/12/16,1,1,0.7179263234138489
4,1,41,384,1992/01/20,1,1,0.6873510479927063
4,2,42,666,1992/10/28,3B,3B,0.7281578183174133
4,3,43,325,1991/11/22,3B,3B,0.7346682548522949
4,4,44,2127,1996/10/28,3C,3C,0.7782205939292908
4,5,45,1237,1994/05/22,3C,3C,0.7870557904243469
4,6,46,3123,1999/07/21,4A,4A,0.8027449250221252
4,7,47,2820,1998/09/21,6A,6A,0.8189283013343811
4,8,48,1258,1994/06/12,4B,4B,0.7810344099998474
4,9,49,2770,1998/08/02,4A+5,,0.743213951587677
5,0,50,1493,1995/02/02,1,1,0.7069991827011108
5,1,51,665,1992/10/27,1,1,0.7056083083152771
5,2,52,1030,1993/10/27,3B,3B,0.765072226524353
5,3,53,339,1991/12/06,2A+3C,,0.7657637596130371
5,4,54,272,1991/09/30,3B+4B,,0.8213974833488464
5,5,55,985,1993/09/12,3A+4B,,0.8018505573272705
5,6,56,3140,1999/08/07,5+6B,,0.7987159490585327
5,7,57,3164,1999/08/31,4A+5,,0.8295891880989075
5,8,58,1594,1995/05/14,2D,2D,0.8082846999168396
5,9,59,914,1993/07/03,2B+4B,,0.8039900064468384
6,0,60,1078,1993/12/14,1+2C,,0.7333269119262695
6,1,61,2894,1998/12/04,2B+4B,,0.7871453762054443
6,2,62,2523,1997/11/28,3A,3A,0.7570219039916992
6,3,63,1031,1993/10/28,3B,3B,0.7668980360031128
6,4,64,3167,1999/09/03,3A+4A,,0.7985281348228455
6,5,65,1984,1996/06/07,3A+4B,,0.8109968900680542
6,6,66,1686,1995/08/14,4A+5,,0.7977856397628784
6,7,67,3104,1999/07/02,2A+4A,,0.7871313095092773
6,8,68,2720,1998/06/13,3A+4A,,0.7782012224197388
6,9,69,2680,1998/05/04,3B,3B,0.8207504749298096
7,0,70,1040,1993/11/06,3B+3D,,0.7876874208450317
7,1,71,2547,1997/12/22,1+4B,,0.7276301980018616
7,2,72,1044,1993/11/10,3B+4A,,0.7787166237831116
7,3,73,645,1992/10/07,3A,3A,0.7867774367332458
7,4,74,2302,1997/04/21,3A,3A,0.8296656012535095
7,5,75,1177,1994/03/23,2D,2D,0.7946408987045288
7,6,76,2345,1997/06/03,2A-4B,,0.8219738006591797
7,7,77,1609,1995/05/29,2B,2B,0.7857551574707031
7,8,78,1620,1995/06/09,4B,4B,0.7785060405731201
7,9,79,1565,1995/04/15,2D-3B,,0.8092391490936279
8,0,80,66,1991/03/08,3C-2D,,0.7583235502243042
8,1,81,675,1992/11/06,2B,2B,0.7748094797134399
8,2,82,651,1992/10/13,3A+4B,,0.7575940489768982
8,3,83,1396,1994/10/28,2A+4B,,0.8024874925613403
8,4,84,2059,1996/08/21,3A+5,,0.7260672450065613
8,5,85,2046,1996/08/08,3A+6A,,0.739170491695404
8,6,86,3187,1999/09/23,4A+6A,,0.75401371717453
8,7,87,2710,1998/06/03,3D,3D,0.772169828414917
8,8,88,3111,1999/07/09,2C+4B,,0.6266542673110962
8,9,89,580,1992/08/03,4B+6A,,0.822424054145813
9,0,90,429,1992/03/05,2C,2C,0.7897739410400391
9,1,91,755,1993/01/25,2C,2C,0.779891848564148
9,2,92,3214,1999/10/20,2A+4B,,0.8209289312362671
9,3,93,1723,1995/09/20,3A+4B,,0.7880120873451233
9,4,94,228,1991/08/17,6A+3A,,0.8042710423469543
9,5,95,3110,1999/07/08,3A,3A,0.8102016448974609
9,6,96,3115,1999/07/13,2C,2C,0.7969658970832825
9,7,97,2796,1998/08/28,4A,4A,0.7874590158462524
9,8,98,2762,1998/07/25,4A,4A,0.7721960544586182
9,9,99,2764,1998/07/27,4A,4A,0.8153465390205383
