iteration,MacroRecall_majority,MacroRecall_composite,QuantizationError,NodewiseMatchRate
10,0.20647469386506365,0.15306388309594254,0.8117096044751043,0.38
20,0.23786493060928118,0.1539147504841771,0.8004714065240733,0.38
30,0.22321545592730144,0.1637829907856432,0.7961650067344784,0.27
40,0.21709634855388255,0.1609590752677571,0.7945128610005739,0.28
50,0.21585666477585744,0.16256462370978708,0.7934008587592636,0.32
60,0.21306776521655194,0.16086955050833052,0.792228195055807,0.32
70,0.23692229082544208,0.16726207391434472,0.7908421961195679,0.33
80,0.22712203251042362,0.17077625865246482,0.7891315127129899,0.35
90,0.24943024652624582,0.1765260702960186,0.7876548825116878,0.31
100,0.2260793315755777,0.17190976678687755,0.7862638329023426,0.34
110,0.22138902814892242,0.170505513213548,0.7849180095638951,0.29
120,0.2200193088831652,0.17354990039735815,0.7839841131820191,0.28
130,0.22123086454973104,0.1710423342705236,0.7827925396284725,0.3
140,0.22051413262070724,0.1711049679299059,0.7812511117979861,0.32
150,0.22186277859109746,0.17205635718039883,0.7803026018876742,0.3
160,0.22597647649380315,0.1721913481031701,0.7792981144574627,0.29
170,0.23606609267686582,0.17337129426998352,0.7786794394970956,0.34
180,0.22413396769733143,0.1698834269653783,0.7775519765326416,0.32
190,0.22100938035561876,0.17232724281554693,0.7770597517653588,0.36
200,0.22465973922652943,0.1761755327664492,0.7761139435937856,0.36
210,0.2163942507853817,0.1713307061078318,0.7754612763964517,0.35
220,0.21835919879686475,0.1702633752326603,0.774408603316569,0.36
230,0.22111621496460293,0.17041518780651152,0.7734406984501564,0.39
240,0.22559788143868556,0.17368972018136505,0.7725312198445106,0.41
250,0.25593109167082173,0.176518918114684,0.7717920784388845,0.43
260,0.2490942180182266,0.1760166496942845,0.771303010342293,0.38
270,0.26794195147363503,0.1854875819400256,0.7702540811666936,0.39
280,0.263863894215935,0.17780948335074878,0.769140925347932,0.31
290,0.2633638446121392,0.1791074784309076,0.7682255488744724,0.33
300,0.269414170228247,0.1842751413666178,0.7671904162066593,0.33
310,0.2771888754120485,0.18776855846568458,0.766469713471601,0.34
320,0.26924016901718706,0.18271503491955596,0.7654373173587475,0.28
330,0.2713845997887449,0.18463958578986228,0.7646943670585593,0.3
340,0.2660708430352028,0.1803482235434712,0.7637656072298009,0.31
350,0.2763920643207056,0.18831875677294582,0.7633789847025511,0.31
360,0.2806466290419946,0.18886789584676164,0.7625060399179949,0.33
370,0.28040505906519464,0.18537948822084996,0.7616924521478433,0.31
380,0.26821381477621525,0.17754746928041457,0.7613598527899621,0.32
390,0.26356746322196334,0.17897211189581835,0.7604635927428364,0.34
400,0.25027320862487995,0.17802476022451016,0.759804500792213,0.32
410,0.24619833604144717,0.17714324092410091,0.7590460363840092,0.35
420,0.24645748595897185,0.17874995626052348,0.7584094333909803,0.34
430,0.23889035672465328,0.1772662492146788,0.7578662075022995,0.35
440,0.240516376051587,0.17984623058304722,0.7576073372947941,0.31
450,0.23688154191173155,0.1817845538717764,0.7574515207799547,0.32
460,0.23299561363247762,0.18312685206761084,0.7567493077792546,0.31
470,0.25599238173464534,0.18473233124108715,0.7564419966031253,0.3
480,0.25894792858722493,0.1838526896159586,0.7559441780296908,0.28
490,0.24555325011301476,0.18195913902914126,0.7556293442287741,0.35
500,0.23343699215240277,0.1753675540737153,0.7551008641701684,0.36
510,0.24126579245284147,0.17552245159508048,0.7547812721524008,0.36
520,0.2807983027884846,0.18431481645189696,0.7536891197991437,0.34
530,0.28079044808859055,0.18436941883902025,0.7526000405576478,0.35
540,0.26723702830484064,0.18570294214399,0.7521403155719977,0.38
550,0.267622876236787,0.18397191837009264,0.7513087301367425,0.38
560,0.2734227726847538,0.1815272941818609,0.7510680363176078,0.37
570,0.27384318469724417,0.18114844889756868,0.749918279366396,0.27
580,0.2997440619205838,0.19213600962763863,0.7484406998428053,0.3939393939393939
590,0.266890325025027,0.18747660254502377,0.7477279375271845,0.3333333333333333
600,0.24689950752016773,0.18013841423450297,0.7465423570057886,0.37373737373737376
610,0.23178100975039795,0.1789028744351692,0.7459941918559084,0.33
620,0.2378406970266353,0.17783151128531102,0.7452108361708708,0.3434343434343434
630,0.25681215696291854,0.18875554566407618,0.7460903240838673,0.32323232323232326
640,0.27701168406507404,0.2030102276319993,0.7463245374437593,0.2828282828282828
650,0.2803286010368838,0.19807651919742347,0.7452801970460693,0.4
660,0.2486449860790452,0.1891042117614872,0.7453315277610247,0.39
670,0.29526579938221287,0.1984641940474782,0.7458477571520502,0.46
680,0.252140570535162,0.18743236421306128,0.7465483546801023,0.37
690,0.2534499210643327,0.18742126087573133,0.7470769020500682,0.37
700,0.2443481721947051,0.1926403474537269,0.747370474745446,0.36363636363636365
710,0.27482014126504334,0.20519405034306595,0.7476739955956645,0.3333333333333333
720,0.26764604237571726,0.18929498168109207,0.746395836421919,0.3838383838383838
730,0.29442189866714763,0.19584004308096598,0.7462959045837235,0.38
740,0.26755192698358893,0.19462835540106352,0.7467658411669521,0.4020618556701031
750,0.26151200297640315,0.19397330424336537,0.7469760765955373,0.45454545454545453
760,0.26625966261023476,0.1917994524489453,0.746542953523706,0.3711340206185567
770,0.2527280963406362,0.1839003818674007,0.7467943382437264,0.3469387755102041
780,0.2650085264056346,0.19089023363604077,0.7456403929011453,0.37373737373737376
790,0.24956294816357733,0.18720747405175286,0.7457005181934901,0.336734693877551
800,0.2565912247461738,0.19435856285289965,0.7448034933500461,0.37
810,0.28771609700565576,0.19462902176731317,0.7448997253845048,0.34
820,0.25071949905281105,0.18851277023201116,0.7453049107601768,0.29
830,0.2515509612849742,0.1925296639984401,0.7452809107785969,0.4
840,0.28197797166729127,0.19542455948901777,0.7446516377605998,0.37
850,0.26469493102793684,0.19244604408474467,0.7438336051195851,0.35
860,0.27700554507301,0.19620217230447068,0.7440822312343727,0.3
870,0.25673753233555396,0.18979772039183063,0.7422782542823766,0.36363636363636365
880,0.2480322995570013,0.1874632880776397,0.7399022642297516,0.3838383838383838
