node_x,node_y,node_flat,true_medoid_index,time,label_raw,label,avg_distance_in_node
0,0,0,2691,1998/05/15,3C+4B,,0.8002305030822754
0,1,1,851,1993/05/01,3B+4B,,0.7758713364601135
0,2,2,96,1991/04/07,3A+4B,,0.7704088687896729
0,3,3,1112,1994/01/17,2A+2B,,0.7144216895103455
0,4,4,1907,1996/03/22,2D,2D,0.7645795941352844
0,5,5,1874,1996/02/18,1+4B,,0.727461040019989
0,6,6,29,1991/01/30,1,1,0.70240318775177
0,7,7,665,1992/10/27,1,1,0.6909083724021912
0,8,8,1462,1995/01/02,1-3B,,0.7053682208061218
0,9,9,324,1991/11/21,3B,3B,0.7244177460670471
1,0,10,2728,1998/06/21,3A+4A,,0.6533401012420654
1,1,11,539,1992/06/23,3A+2C,,0.7960373163223267
1,2,12,1564,1995/04/14,2C,2C,0.7719599604606628
1,3,13,20,1991/01/21,2D,2D,0.7518665194511414
1,4,14,2196,1997/01/05,3D-2D,,0.7078152298927307
1,5,15,700,1992/12/01,2D,2D,0.7694864869117737
1,6,16,2546,1997/12/21,1+4B,,0.7137999534606934
1,7,17,353,1991/12/20,1-3B,,0.6938048601150513
1,8,18,1030,1993/10/27,3B,3B,0.6961261630058289
1,9,19,2505,1997/11/10,3B,3B,0.7314350008964539
2,0,20,942,1993/07/31,2A+5,,0.7502958178520203
2,1,21,1259,1994/06/13,4A,4A,0.7637109756469727
2,2,22,3105,1999/07/03,2B+4A,,0.7913259863853455
2,3,23,1264,1994/06/18,3A+2C,,0.8026918172836304
2,4,24,429,1992/03/05,2C,2C,0.7190418839454651
2,5,25,2572,1998/01/16,1,1,0.7311910390853882
2,6,26,651,1992/10/13,3A+4B,,0.7062333226203918
2,7,27,2547,1997/12/22,1+4B,,0.7368237376213074
2,8,28,2110,1996/10/11,3B+4B,,0.7003985643386841
2,9,29,1416,1994/11/17,3C+4B,,0.733539342880249
3,0,30,1645,1995/07/04,4A,4A,0.7321227192878723
3,1,31,2725,1998/06/18,3A+4B,,0.6977949738502502
3,2,32,1260,1994/06/14,2C+4B,,0.7765784859657288
3,3,33,930,1993/07/19,4B,4B,0.8079339861869812
3,4,34,931,1993/07/20,4B,4B,0.7542771100997925
3,5,35,1367,1994/09/29,4A+6A,,0.6245362758636475
3,6,36,281,1991/10/09,4B,4B,0.7728641629219055
3,7,37,1393,1994/10/25,3A+4B,,0.7037687301635742
3,8,38,1376,1994/10/08,3B,3B,0.6975342035293579
3,9,39,2111,1996/10/12,3C+4B,,0.779930055141449
4,0,40,2378,1997/07/06,4A+5,,0.7426543831825256
4,1,41,1994,1996/06/17,4A,4A,0.7460650205612183
4,2,42,2722,1998/06/15,2D+4B,,0.7739632725715637
4,3,43,118,1991/04/29,2A+2D,,0.7697771787643433
4,4,44,2331,1997/05/20,2D+4B,,0.7914353609085083
4,5,45,2798,1998/08/30,4A+6B,,0.7641113996505737
4,6,46,2016,1996/07/09,3A+4B,,0.7883694767951965
4,7,47,2418,1997/08/15,3A,3A,0.7412811517715454
4,8,48,2085,1996/09/16,2A+3C,,0.7671721577644348
4,9,49,646,1992/10/08,3A+4B,,0.7485201954841614
5,0,50,565,1992/07/19,2A-5,,0.7613780498504639
5,1,51,897,1993/06/16,4A,4A,0.7531461715698242
5,2,52,2327,1997/05/16,2A+4B,,0.7578603625297546
5,3,53,837,1993/04/17,2A+4B,,0.7906323671340942
5,4,54,457,1992/04/02,4B,4B,0.8262751698493958
5,5,55,3202,1999/10/08,2A+4B,,0.6013869643211365
5,6,56,1293,1994/07/17,5,5,0.5703743696212769
5,8,58,1745,1995/10/12,3C+4B,,0.7736935019493103
5,9,59,2867,1998/11/07,2C,2C,0.7376428842544556
6,0,60,919,1993/07/08,3A+4A,,0.7864630818367004
6,1,61,1254,1994/06/08,2A+4B,,0.7211612462997437
6,2,62,528,1992/06/12,2A+4B,,0.7524477243423462
6,3,63,2310,1997/04/29,2A+2C,,0.7099570035934448
6,4,64,3189,1999/09/25,6C,6C,0.7422706484794617
6,5,65,2684,1998/05/08,2A,2A,0.8152889013290405
6,6,66,78,1991/03/20,2A,2A,0.8179708123207092
6,7,67,668,1992/10/30,2D,2D,0.7765541076660156
6,8,68,3261,1999/12/06,2D,2D,0.6626051068305969
6,9,69,747,1993/01/17,1+2A,,0.7546406388282776
7,0,70,2719,1998/06/12,3A+4B,,0.8032773733139038
7,1,71,1626,1995/06/15,2D+4B,,0.8221017718315125
7,2,72,1277,1994/07/01,4A,4A,0.8086709976196289
7,3,73,160,1991/06/10,4A,4A,0.7100272178649902
7,4,74,2308,1997/04/27,3D,3D,0.7434253096580505
7,5,75,2904,1998/12/14,2A+3D,,0.751903772354126
7,6,76,733,1993/01/03,2A-1,,0.7651681303977966
7,7,77,729,1992/12/30,1+2B,,0.7638950943946838
7,8,78,2919,1998/12/29,2A+3C,,0.681297242641449
7,9,79,1799,1995/12/05,1+2D,,0.7127904891967773
8,0,80,2717,1998/06/10,4B,4B,0.8081727623939514
8,1,81,1241,1994/05/26,2D,2D,0.7575759291648865
8,2,82,3131,1999/07/29,4A+5,,0.7934644818305969
8,3,83,2366,1997/06/24,4B,4B,0.7764798998832703
8,4,84,3062,1999/05/21,3D,3D,0.7757894396781921
8,5,85,1471,1995/01/11,1,1,0.775885820388794
8,6,86,770,1993/02/09,2D,2D,0.728254497051239
8,7,87,2937,1999/01/16,2A-1,,0.711323618888855
8,8,88,3253,1999/11/28,1,1,0.728850245475769
8,9,89,1492,1995/02/01,1,1,0.6884252429008484
9,0,90,2716,1998/06/09,3A+4B,,0.8033833503723145
9,1,91,159,1991/06/09,3B-4A,,0.7985678315162659
9,2,92,3123,1999/07/21,4A,4A,0.8161974549293518
9,3,93,1648,1995/07/07,4A,4A,0.8149142265319824
9,4,94,1867,1996/02/11,3D,3D,0.772503137588501
9,5,95,2291,1997/04/10,2A,2A,0.7717885971069336
9,6,96,2581,1998/01/25,1,1,0.6925515532493591
9,7,97,786,1993/02/25,1,1,0.6896623969078064
9,8,98,2528,1997/12/03,1,1,0.6647679805755615
9,9,99,751,1993/01/21,1,1,0.7093080878257751
