time,bmu_x,bmu_y,label_raw
1991-01-01,1,3,2C
1991-01-02,0,3,2C-1
1991-01-03,0,8,1
1991-01-04,0,5,1
1991-01-05,0,4,1
1991-01-06,0,8,1
1991-01-07,0,5,1-3B
1991-01-08,0,4,2C-1
1991-01-09,0,7,1
1991-01-10,0,4,1+3D
1991-01-11,0,5,1+2C
1991-01-12,0,8,2D
1991-01-13,0,7,1+2B
1991-01-14,0,5,1
1991-01-15,0,3,1+4B
1991-01-16,0,6,3B
1991-01-17,0,3,2D
1991-01-18,0,4,1
1991-01-19,1,6,3B
1991-01-20,2,2,3D-4B
1991-01-21,0,9,2D
1991-01-22,0,3,1
1991-01-23,0,8,1
1991-01-24,2,6,3B
1991-01-25,2,7,2D
1991-01-26,0,7,1
1991-01-27,0,9,1
1991-01-28,0,4,1
1991-01-29,0,6,1
1991-01-30,0,8,1
1991-01-31,0,5,1
1991-02-01,0,6,1
1991-02-02,0,4,1
1991-02-03,0,6,1
1991-02-04,0,5,1+4B
1991-02-05,0,7,1
1991-02-06,1,4,1-3B
1991-02-07,0,4,1+4B
1991-02-08,0,5,4A
1991-02-09,1,4,3B
1991-02-10,5,5,2D
1991-02-11,1,8,1
1991-02-12,1,4,1
1991-02-13,1,5,3B
1991-02-14,2,2,3B-2C
1991-02-15,1,1,2D
1991-02-16,0,2,2C-1
1991-02-17,0,7,1
1991-02-18,0,6,1
1991-02-19,0,5,2D
1991-02-20,0,7,1+2C
1991-02-21,0,8,1+2D
1991-02-22,0,7,1-2B
1991-02-23,0,8,1+2A
1991-02-24,0,5,1
1991-02-25,1,5,1
1991-02-26,3,5,3B
1991-02-27,3,9,3D
1991-02-28,3,5,2A+2B
1991-03-01,1,5,1+4B
1991-03-02,2,7,1
1991-03-03,3,9,3B
1991-03-04,3,6,3D
1991-03-05,3,7,2A+2C
1991-03-06,1,4,2A+2C
1991-03-07,0,5,1
1991-03-08,2,2,3C-2D
1991-03-09,1,3,2D
1991-03-10,1,9,1
1991-03-11,3,0,4B
1991-03-12,0,3,4B+2A
1991-03-13,1,5,4B+1
1991-03-14,0,5,4B+1
1991-03-15,1,6,1-3B
1991-03-16,3,5,4B
1991-03-17,2,6,1+2A
1991-03-18,7,5,3B
1991-03-19,4,5,3C
1991-03-20,1,8,2A
1991-03-21,1,5,1+4B
1991-03-22,4,2,2B
1991-03-23,7,4,2B
1991-03-24,1,5,1
1991-03-25,2,2,3B+4B
1991-03-26,1,2,2A+4B
1991-03-27,1,1,4B
1991-03-28,3,0,4B
1991-03-29,0,9,3A
1991-03-30,2,2,2D
1991-03-31,0,6,2D-1
1991-04-01,2,4,4B
1991-04-02,2,6,3B+4B
1991-04-03,3,4,3B
1991-04-04,4,2,3B
1991-04-05,6,1,3C
1991-04-06,8,2,2A+4B
1991-04-07,7,2,3A+4B
1991-04-08,7,1,4B
1991-04-09,9,4,3B
1991-04-10,5,9,3B
1991-04-11,2,1,2A+2C
1991-04-12,3,2,2C+3A
1991-04-13,9,3,2D
1991-04-14,4,7,2A
1991-04-15,3,5,3B
1991-04-16,3,8,2A+4B
1991-04-17,4,5,3B
1991-04-18,3,7,2A+2B
1991-04-19,1,8,1+4B
1991-04-20,2,5,1+2A
1991-04-21,3,5,2A
1991-04-22,7,9,3B
1991-04-23,6,2,3B
1991-04-24,6,1,4B
1991-04-25,7,3,2C
1991-04-26,7,4,2D
1991-04-27,8,5,3B+4B
1991-04-28,8,4,4B
1991-04-29,9,1,2A+2D
1991-04-30,0,7,2A-3B
1991-05-01,4,7,2A
1991-05-02,0,8,1+2A
1991-05-03,0,5,1
1991-05-04,3,4,3B
1991-05-05,3,9,3B
1991-05-06,6,3,3B
1991-05-07,7,9,4B
1991-05-08,6,9,2A
1991-05-09,6,8,2A+4B
1991-05-10,4,5,4B
1991-05-11,4,4,3B
1991-05-12,6,9,2C
1991-05-13,6,8,2A+4B
1991-05-14,4,9,3B
1991-05-15,6,5,4B
1991-05-16,6,6,2B+6A
1991-05-17,4,7,2A+4B
1991-05-18,4,6,2A+3D
1991-05-19,7,6,2A+5
1991-05-20,5,9,3A+4B
1991-05-21,7,6,4B
1991-05-22,5,8,4B+2A
1991-05-23,4,9,3A+2C
1991-05-24,5,4,3C+4B
1991-05-25,3,1,2B
1991-05-26,2,1,4A
1991-05-27,1,3,4B
1991-05-28,0,0,3A
1991-05-29,7,3,3A-4B
1991-05-30,7,3,3B+4B
1991-05-31,7,4,4B
1991-06-01,7,4,4B
1991-06-02,6,8,4A
1991-06-03,8,7,4A
1991-06-04,5,7,4B
1991-06-05,5,5,3C
1991-06-06,5,7,2A+4B
1991-06-07,7,5,3B+4B
1991-06-08,7,4,3B+4B
1991-06-09,7,4,3B-4A
1991-06-10,6,6,4A
1991-06-11,7,7,2A-5
1991-06-12,6,6,2A+5
1991-06-13,5,7,2A+4A
1991-06-14,5,6,2A+4B
1991-06-15,6,6,3B+4A
1991-06-16,9,5,3B+4B
1991-06-17,6,6,3B+4A
1991-06-18,6,7,4B
1991-06-19,6,7,4B
1991-06-20,9,5,3A+4B
1991-06-21,9,2,3A+4B
1991-06-22,9,2,3A+4B
1991-06-23,9,2,3A+4B
1991-06-24,8,7,3A+4A
1991-06-25,7,6,4A
1991-06-26,4,6,4A
1991-06-27,6,6,4A
1991-06-28,7,6,4A
1991-06-29,7,6,3A+4B
1991-06-30,7,7,4A
1991-07-01,8,7,3A+4A
1991-07-02,8,6,4A
1991-07-03,8,7,3B+4A
1991-07-04,6,6,4A
1991-07-05,7,7,2B+4A
1991-07-06,9,5,3A+4B
1991-07-07,7,6,4A
1991-07-08,8,7,2B+4A
1991-07-09,9,5,3A+4A
1991-07-10,9,3,3A+4A
1991-07-11,9,9,4A
1991-07-12,9,6,4A
1991-07-13,9,7,3A+4A
1991-07-14,8,4,3A+4B
1991-07-15,9,3,4A
1991-07-16,9,9,4A
1991-07-17,9,9,4A
1991-07-18,9,9,4A
1991-07-19,9,4,3A
1991-07-20,7,5,4A
1991-07-21,7,8,5+4A
1991-07-22,7,7,5+4A
1991-07-23,7,7,5+4A
1991-07-24,5,6,5+4A
1991-07-25,5,6,5+4A
1991-07-26,6,7,2A+4A
1991-07-27,9,8,6A+4A
1991-07-28,9,7,6A+4A
1991-07-29,9,5,6B+5
1991-07-30,8,8,6B+5
1991-07-31,7,7,5+4A
1991-08-01,7,8,5+4A
1991-08-02,9,4,5+4A
1991-08-03,9,0,3A+4A
1991-08-04,9,0,3A+4B
1991-08-05,9,0,3A+4A
1991-08-06,7,0,3A+4B
1991-08-07,9,2,3A+4B
1991-08-08,9,1,4B
1991-08-09,8,0,4A
1991-08-10,9,1,3A+5
1991-08-11,0,1,4A
1991-08-12,0,0,5
1991-08-13,6,0,3A
1991-08-14,0,0,3A
1991-08-15,0,0,3B
1991-08-16,5,0,6A+3A
1991-08-17,6,0,6A+3A
1991-08-18,0,0,6A+3A
1991-08-19,0,0,6A
1991-08-20,7,0,6A
1991-08-21,7,0,6A
1991-08-22,7,0,6A+4A
1991-08-23,0,2,6B+5
1991-08-24,3,0,3A
1991-08-25,1,2,3B
1991-08-26,0,9,4A
1991-08-27,1,2,3A+4B
1991-08-28,5,3,6A+3B
1991-08-29,4,9,6B+5
1991-08-30,4,8,6A+2B
1991-08-31,7,7,6B+4A
1991-09-01,4,6,3B
1991-09-02,9,9,3B+4B
1991-09-03,6,2,5
1991-09-04,3,2,5+2A
1991-09-05,7,2,5+4A
1991-09-06,6,1,5+4A
1991-09-07,6,3,4A
1991-09-08,7,0,6A+4A
1991-09-09,9,0,6B
1991-09-10,0,2,3B+4B
1991-09-11,2,0,2A+4B
1991-09-12,3,7,2A+4A
1991-09-13,3,1,6A+4A
1991-09-14,3,0,6A+4A
1991-09-15,1,2,4B
1991-09-16,3,1,3A+4B
1991-09-17,4,1,3A+4B
1991-09-18,7,0,4B
1991-09-19,8,0,6A+2C
1991-09-20,0,2,2A+2B
1991-09-21,6,0,3A+2B
1991-09-22,0,0,6A+4B
1991-09-23,5,1,6A+4B
1991-09-24,4,0,3B+4B
1991-09-25,3,2,3C+4B
1991-09-26,7,2,6A+4B
1991-09-27,7,1,6A+4A
1991-09-28,4,7,2A
1991-09-29,3,9,3B+4B
1991-09-30,4,3,3B+4B
1991-10-01,6,2,2C
1991-10-02,1,0,2C-3B
1991-10-03,2,7,3C
1991-10-04,3,7,2D
1991-10-05,2,8,2A
1991-10-06,3,2,3A+4B
1991-10-07,5,0,4B
1991-10-08,4,0,4B
1991-10-09,1,0,4B
1991-10-10,0,0,4B+3A
1991-10-11,0,0,6A+4B
1991-10-12,0,2,6B
1991-10-13,0,2,6B
1991-10-14,0,7,1+4B
1991-10-15,1,8,2A-3B
1991-10-16,4,3,3B
1991-10-17,7,1,2D
1991-10-18,5,7,2A+3C
1991-10-19,3,7,2A+1
1991-10-20,3,5,2C+1
1991-10-21,4,0,3B
1991-10-22,1,0,2A+4B
1991-10-23,4,0,3B
1991-10-24,4,0,3B
1991-10-25,7,2,4B
1991-10-26,1,0,4B+3B
1991-10-27,2,0,2A+4B
1991-10-28,2,5,1+4B
1991-10-29,2,7,3C
1991-10-30,2,8,2A+4B
1991-10-31,1,6,1+4B
1991-11-01,3,3,2C
1991-11-02,7,4,3A
1991-11-03,1,2,3B
1991-11-04,0,6,2A-1
1991-11-05,2,2,1-3B
