iteration,MacroRecall_majority,MacroRecall_composite,QuantizationError,NodewiseMatchRate
10,0.22052224160353778,0.16839007614120668,0.4344161926956571,0.22
20,0.20048548499367397,0.15540702635563589,0.42982367088194856,0.27
30,0.1900059332416302,0.1540995335065569,0.4246391920757613,0.31
40,0.1926503537661822,0.15433839252862785,0.420593718971784,0.29
50,0.20671051394982526,0.16003052614008156,0.41762582415101157,0.29
60,0.20941916740418554,0.16292719743888917,0.4148318514404668,0.24
70,0.20958849033922117,0.1652283570268815,0.4120945723034308,0.28
80,0.20126974989575402,0.16501171772991532,0.409262082407748,0.23
90,0.1938841446667844,0.15774253991535261,0.40685726800587246,0.28
100,0.1989828637435636,0.15976491373924098,0.4044528505089147,0.27
110,0.19453961079323148,0.16032465497361198,0.40218990176217984,0.28
120,0.20054917700346764,0.16037349412958504,0.3999986454169004,0.28
130,0.19904898804885757,0.15957014896670543,0.397990715043103,0.33
140,0.19214070960717136,0.15848253674910734,0.3958849777811234,0.34
150,0.19380974532636985,0.1574044796773827,0.3939471115701859,0.28
160,0.19600725263429403,0.15629145092646998,0.391855790544724,0.28
170,0.20258570783482152,0.15962226829859733,0.3900359211484458,0.26
180,0.20523163351504745,0.15994633143740536,0.38825295578573915,0.25
190,0.21365227626036223,0.1593020661089697,0.3863910690135857,0.3
200,0.2188769850109153,0.16378876212901675,0.38465180729238463,0.27
210,0.21403174241276,0.16795643208996985,0.3829530020198236,0.26
220,0.21315764203767903,0.16792053541338578,0.3811152719022439,0.25
230,0.2127034268427696,0.16909506323743226,0.37948202093140054,0.27
240,0.22101970995453285,0.17045616141205838,0.3778381359261657,0.29
250,0.22360366203757434,0.17118849793956706,0.3758786662501842,0.24
260,0.21973475301162196,0.17350899725427277,0.374305607883046,0.25
270,0.22192416049569377,0.17449477676009803,0.3728697283274503,0.27
280,0.21984278694633977,0.17333092042363943,0.37147432611022707,0.28
290,0.23551071483795022,0.17404541519900846,0.3699875005589164,0.27
