node_x,node_y,node_flat,true_medoid_index,time,label_raw,label,avg_distance_in_node
0,0,0,645,1992/10/07,3A,3A,0.4477241039276123
0,1,1,2851,1998/10/22,4B,4B,0.5217011570930481
0,2,2,2568,1998/01/12,2C,2C,0.3505304455757141
0,3,3,1457,1994/12/28,1,1,0.3611598610877991
0,4,4,32,1991/02/02,1,1,0.22501398622989655
0,5,5,2921,1998/12/31,1,1,0.1879706233739853
0,6,6,31,1991/02/01,1,1,0.22070150077342987
0,7,7,2934,1999/01/13,1,1,0.2724175751209259
0,8,8,1801,1995/12/07,1,1,0.23711349070072174
0,9,9,2224,1997/02/02,3D,3D,0.28987833857536316
1,0,10,1007,1993/10/04,2C,2C,0.4273867607116699
1,1,11,657,1992/10/19,4B,4B,0.26254740357398987
1,2,12,1123,1994/01/28,2D,2D,0.2774171829223633
1,3,13,1522,1995/03/03,2D,2D,0.3059104084968567
1,4,14,1115,1994/01/20,1,1,0.21240411698818207
1,5,15,2206,1997/01/15,1,1,0.215515598654747
1,6,16,1814,1995/12/20,1+2B,,0.23235346376895905
1,7,17,770,1993/02/09,2D,2D,0.21651531755924225
1,8,18,1815,1995/12/21,1+2C,,0.28825461864471436
1,9,19,1495,1995/02/04,1+4B,,0.2627043128013611
2,0,20,2124,1996/10/25,3C+4A,,0.3661595582962036
2,1,21,1121,1994/01/26,2B,2B,0.32735490798950195
2,2,22,2610,1998/02/23,3B+4B,,0.31832268834114075
2,3,23,1912,1996/03/27,3B+4B,,0.32930028438568115
2,4,24,1768,1995/11/04,1+3C,,0.2556566298007965
2,5,25,2149,1996/11/19,1,1,0.25487056374549866
2,6,26,787,1993/02/26,3B,3B,0.2871747612953186
2,7,27,2871,1998/11/11,2A+2C,,0.23101434111595154
2,8,28,2589,1998/02/02,2D,2D,0.3261713683605194
2,9,29,2529,1997/12/04,3B,3B,0.2975446283817291
3,0,30,2887,1998/11/27,3D,3D,0.3471008241176605
3,1,31,1094,1993/12/30,3B,3B,0.37052208185195923
3,2,32,2138,1996/11/08,3C+4A,,0.43731489777565
3,3,33,666,1992/10/28,3B,3B,0.36588969826698303
3,4,34,1853,1996/01/28,3C,3C,0.2912857234477997
3,5,35,2639,1998/03/24,3C+4B,,0.31228533387184143
