label,N_base,Correct_base,Recall_base,N_composite,Correct_composite,Recall_composite
1,41,36,0.8780487804878049,78,62,0.7948717948717948
2A,12,2,0.16666666666666666,73,8,0.1095890410958904
2B,7,0,0.0,27,0,0.0
2C,7,0,0.0,25,2,0.08
2D,19,4,0.21052631578947367,30,5,0.16666666666666666
3A,4,0,0.0,21,1,0.047619047619047616
3B,19,14,0.7368421052631579,58,33,0.5689655172413793
3C,17,0,0.0,29,1,0.034482758620689655
3D,8,0,0.0,20,0,0.0
4A,10,4,0.4,57,24,0.42105263157894735
4B,13,2,0.15384615384615385,57,5,0.08771929824561403
5,9,0,0.0,49,4,0.08163265306122448
6A,0,0,,28,0,0.0
6B,2,0,0.0,10,0,0.0
6C,0,0,,2,0,0.0
