time,bmu_x,bmu_y,label_raw,actual_base,pred_base_from_train,correct_base,correct_composite
2000/01/01,5,0,1,1,1,1,1
2000/01/02,7,0,3C+2D,,3B,0,0
2000/01/03,0,2,2A,2A,2D,0,0
2000/01/04,5,0,1+2A,,1,0,1
2000/01/05,7,0,3C,3C,3B,0,0
2000/01/06,8,0,2D,2D,2D,1,1
2000/01/07,0,2,2A,2A,2D,0,0
2000/01/08,3,3,1+3B,,3B,0,1
2000/01/09,5,3,3C,3C,3B,0,0
2000/01/10,0,2,2D,2D,2D,1,1
2000/01/11,5,0,1,1,1,1,1
2000/01/12,7,0,3A,3A,3B,0,0
2000/01/13,8,0,2D,2D,2D,1,1
2000/01/14,0,1,1+2B,,2D,0,0
2000/01/15,5,0,1,1,1,1,1
2000/01/16,7,0,1+4B,,3B,0,0
2000/01/17,6,0,2C,2C,1,0,0
2000/01/18,0,0,1,1,2D,0,0
2000/01/19,0,0,1+2B,,2D,0,0
2000/01/20,0,0,1+2A,,2D,0,0
2000/01/21,4,0,1,1,1,1,1
2000/01/22,4,2,3B,3B,3B,1,1
2000/01/23,7,0,2A+2B,,3B,0,0
2000/01/24,6,0,1+4B,,1,0,1
2000/01/25,5,0,1+4B,,1,0,1
2000/01/26,5,0,1,1,1,1,1
2000/01/27,5,0,1,1,1,1,1
2000/01/28,4,1,1,1,1,1,1
2000/01/29,5,2,3B,3B,3B,1,1
2000/01/30,0,2,2A,2A,2D,0,0
2000/01/31,4,0,1,1,1,1,1
2000/02/01,3,1,1,1,1,1,1
2000/02/02,3,1,1,1,1,1,1
2000/02/03,4,1,3C,3C,1,0,0
2000/02/04,4,0,1+4B,,1,0,1
2000/02/05,5,1,3B,3B,1,0,0
2000/02/06,7,0,2D,2D,3B,0,0
2000/02/07,0,0,2D,2D,2D,1,1
2000/02/08,0,0,2D,2D,2D,1,1
2000/02/09,2,0,1,1,1,1,1
2000/02/10,3,1,1+3B,,1,0,1
2000/02/11,2,2,1+3C,,1,0,1
2000/02/12,2,1,1+3B,,1,0,1
2000/02/13,4,0,1,1,1,1,1
2000/02/14,1,1,2D,2D,2A,0,0
2000/02/15,1,0,1+2A,,1,0,1
2000/02/16,2,0,1,1,1,1,1
2000/02/17,2,0,1,1,1,1,1
2000/02/18,3,0,1,1,1,1,1
2000/02/19,4,2,3B-2C,,3B,0,1
