label,N_base,Correct_base,Recall_base,N_composite,Correct_composite,Recall_composite
1,41,36,0.8780487804878049,78,58,0.7435897435897436
2A,12,3,0.25,73,17,0.2328767123287671
2B,7,0,0.0,27,0,0.0
2C,7,0,0.0,25,2,0.08
2D,19,7,0.3684210526315789,30,8,0.26666666666666666
3A,4,3,0.75,21,6,0.2857142857142857
3B,19,17,0.8947368421052632,58,35,0.603448275862069
3C,17,0,0.0,29,0,0.0
3D,8,0,0.0,20,0,0.0
4A,10,5,0.5,57,23,0.40350877192982454
4B,13,1,0.07692307692307693,57,2,0.03508771929824561
5,9,3,0.3333333333333333,49,15,0.30612244897959184
6A,0,0,,28,5,0.17857142857142858
6B,2,1,0.5,10,1,0.1
6C,0,0,,2,0,0.0
