time,bmu_x,bmu_y,label_raw,actual_base,pred_base_from_train,correct_base,correct_composite
2000/01/01,1,6,1,1,1,1,1
2000/01/02,1,6,3C+2D,,1,0,0
2000/01/03,1,7,2A,2A,3B,0,0
2000/01/04,0,7,1+2A,,1,0,1
2000/01/05,1,7,3C,3C,3B,0,0
2000/01/06,2,9,2D,2D,3B,0,0
2000/01/07,0,7,2A,2A,1,0,0
2000/01/08,0,9,1+3B,,3B,0,1
2000/01/09,1,8,3C,3C,3B,0,0
2000/01/10,0,5,2D,2D,2D,1,1
2000/01/11,0,6,1,1,1,1,1
2000/01/12,1,6,3A,3A,1,0,0
2000/01/13,1,4,2D,2D,2D,1,1
2000/01/14,0,5,1+2B,,2D,0,0
2000/01/15,1,6,1,1,1,1,1
2000/01/16,2,6,1+4B,,4B,0,1
2000/01/17,1,5,2C,2C,2D,0,0
2000/01/18,7,2,1,1,4A,0,0
2000/01/19,6,9,1+2B,,2D,0,0
2000/01/20,8,9,1+2A,,1,0,1
2000/01/21,9,8,1,1,1,1,1
2000/01/22,0,8,3B,3B,3B,1,1
2000/01/23,0,5,2A+2B,,2D,0,0
2000/01/24,0,5,1+4B,,2D,0,0
2000/01/25,0,6,1+4B,,1,0,1
2000/01/26,9,9,1,1,1,1,1
2000/01/27,9,8,1,1,1,1,1
2000/01/28,0,7,1,1,1,1,1
2000/01/29,1,8,3B,3B,3B,1,1
2000/01/30,0,6,2A,2A,1,0,0
2000/01/31,9,9,1,1,1,1,1
2000/02/01,9,8,1,1,1,1,1
2000/02/02,9,8,1,1,1,1,1
2000/02/03,0,7,3C,3C,1,0,0
2000/02/04,9,8,1+4B,,1,0,1
2000/02/05,1,7,3B,3B,3B,1,1
2000/02/06,1,5,2D,2D,2D,1,1
2000/02/07,8,9,2D,2D,1,0,0
2000/02/08,7,9,2D,2D,2D,1,1
2000/02/09,9,7,1,1,1,1,1
2000/02/10,9,6,1+3B,,1,0,1
2000/02/11,8,5,1+3C,,1,0,1
2000/02/12,8,6,1+3B,,1,0,1
2000/02/13,9,9,1,1,1,1,1
2000/02/14,8,8,2D,2D,1,0,0
2000/02/15,9,6,1+2A,,1,0,1
2000/02/16,9,6,1,1,1,1,1
2000/02/17,9,7,1,1,1,1,1
2000/02/18,9,7,1,1,1,1,1
2000/02/19,0,8,3B-2C,,3B,0,1
2000/02/20,0,4,2C,2C,2D,0,0
2000/02/21,9,7,1,1,1,1,1
2000/02/22,9,7,1,1,1,1,1
2000/02/23,0,7,1,1,1,1,1
2000/02/24,9,9,1+2A,,1,0,1
2000/02/25,9,8,1,1,1,1,1
2000/02/26,9,8,2D,2D,1,0,0
2000/02/27,9,7,1+2B,,1,0,1
2000/02/28,9,8,2A+2B,,1,0,0
2000/02/29,9,8,1,1,1,1,1
2000/03/01,0,9,3B,3B,3B,1,1
2000/03/02,0,9,3C,3C,3B,0,0
2000/03/03,0,9,3B,3B,3B,1,1
