label,N_base,Correct_base,Recall_base,N_composite,Correct_composite,Recall_composite
1,41,36,0.8780487804878049,78,62,0.7948717948717948
2A,12,1,0.08333333333333333,73,8,0.1095890410958904
2B,7,0,0.0,27,0,0.0
2C,7,0,0.0,25,1,0.04
2D,19,10,0.5263157894736842,30,11,0.36666666666666664
3A,4,1,0.25,21,4,0.19047619047619047
3B,19,16,0.8421052631578947,58,37,0.6379310344827587
3C,17,0,0.0,29,0,0.0
3D,8,0,0.0,20,0,0.0
4A,10,6,0.6,57,28,0.49122807017543857
4B,13,0,0.0,57,2,0.03508771929824561
5,9,1,0.1111111111111111,49,5,0.10204081632653061
6A,0,0,,28,3,0.10714285714285714
6B,2,0,0.0,10,0,0.0
6C,0,0,,2,0,0.0
