time,bmu_x,bmu_y,label_raw,actual_base,pred_base_from_train,correct_base,correct_composite
2000/01/01,0,9,1,1,1,1,1
2000/01/02,0,2,3C+2D,,2D,0,1
2000/01/03,0,9,2A,2A,1,0,0
2000/01/04,0,9,1+2A,,1,0,1
2000/01/05,1,2,3C,3C,3B,0,0
2000/01/06,1,0,2D,2D,2C,0,0
2000/01/07,9,0,2A,2A,2D,0,0
2000/01/08,3,8,1+3B,,3C,0,0
2000/01/09,4,0,3C,3C,3B,0,0
2000/01/10,2,0,2D,2D,2D,1,1
2000/01/11,0,5,1,1,1,1,1
2000/01/12,2,2,3A,3A,3B,0,0
2000/01/13,1,0,2D,2D,2C,0,0
2000/01/14,0,9,1+2B,,1,0,1
2000/01/15,0,6,1,1,1,1,1
2000/01/16,0,9,1+4B,,1,0,1
2000/01/17,0,9,2C,2C,1,0,0
2000/01/18,0,9,1,1,1,1,1
2000/01/19,0,9,1+2B,,1,0,1
2000/01/20,0,5,1+2A,,1,0,1
2000/01/21,0,8,1,1,1,1,1
2000/01/22,0,6,3B,3B,1,0,0
2000/01/23,2,2,2A+2B,,3B,0,0
2000/01/24,0,9,1+4B,,1,0,1
2000/01/25,0,8,1+4B,,1,0,1
2000/01/26,0,4,1,1,1,1,1
2000/01/27,0,5,1,1,1,1,1
2000/01/28,0,7,1,1,1,1,1
2000/01/29,1,2,3B,3B,3B,1,1
2000/01/30,0,3,2A,2A,2D,0,0
2000/01/31,0,7,1,1,1,1,1
2000/02/01,0,6,1,1,1,1,1
2000/02/02,1,5,1,1,1,1,1
2000/02/03,1,7,3C,3C,1,0,0
2000/02/04,0,7,1+4B,,1,0,1
2000/02/05,0,6,3B,3B,1,0,0
2000/02/06,2,2,2D,2D,3B,0,0
2000/02/07,0,6,2D,2D,1,0,0
2000/02/08,0,8,2D,2D,1,0,0
2000/02/09,0,5,1,1,1,1,1
2000/02/10,1,6,1+3B,,1,0,1
2000/02/11,2,5,1+3C,,1,0,1
2000/02/12,1,7,1+3B,,1,0,1
2000/02/13,0,7,1,1,1,1,1
2000/02/14,1,8,2D,2D,1,0,0
2000/02/15,0,7,1+2A,,1,0,1
2000/02/16,0,5,1,1,1,1,1
2000/02/17,0,5,1,1,1,1,1
2000/02/18,0,6,1,1,1,1,1
2000/02/19,1,7,3B-2C,,1,0,0
2000/02/20,0,9,2C,2C,1,0,0
2000/02/21,0,5,1,1,1,1,1
2000/02/22,0,4,1,1,1,1,1
2000/02/23,1,8,1,1,1,1,1
2000/02/24,0,4,1+2A,,1,0,1
2000/02/25,0,5,1,1,1,1,1
2000/02/26,1,9,2D,2D,1,0,0
2000/02/27,0,6,1+2B,,1,0,1
2000/02/28,0,6,2A+2B,,1,0,0
2000/02/29,0,8,1,1,1,1,1
2000/03/01,2,4,3B,3B,1,0,0
2000/03/02,2,7,3C,3C,3B,0,0
2000/03/03,7,5,3B,3B,5,0,0
2000/03/04,4,5,2A+4A,,2A,0,1
2000/03/05,1,7,1+4B,,1,0,1
2000/03/06,1,8,3B+4B,,1,0,0
2000/03/07,0,5,2A-1,,1,0,1
2000/03/08,0,7,1+2A,,1,0,1
2000/03/09,0,6,1,1,1,1,1
2000/03/10,2,5,3B,3B,1,0,0
2000/03/11,2,7,3D-2C,,3B,0,0
2000/03/12,1,6,2C-1,,1,0,1
2000/03/13,1,5,1+2A,,1,0,1
2000/03/14,1,4,1,1,1,1,1
2000/03/15,3,3,3B,3B,3B,1,1
2000/03/16,2,0,2D,2D,2D,1,1
2000/03/17,0,4,1,1,1,1,1
