label,N_base,Correct_base,Recall_base,N_composite,Correct_composite,Recall_composite
1,41,39,0.9512195121951219,78,69,0.8846153846153846
2A,12,2,0.16666666666666666,73,8,0.1095890410958904
2B,7,1,0.14285714285714285,27,1,0.037037037037037035
2C,7,0,0.0,25,1,0.04
2D,19,5,0.2631578947368421,30,8,0.26666666666666666
3A,4,0,0.0,21,2,0.09523809523809523
3B,19,8,0.42105263157894735,58,23,0.39655172413793105
3C,17,0,0.0,29,1,0.034482758620689655
3D,8,0,0.0,20,0,0.0
4A,10,6,0.6,57,16,0.2807017543859649
4B,13,3,0.23076923076923078,57,6,0.10526315789473684
5,9,0,0.0,49,0,0.0
6A,0,0,,28,0,0.0
6B,2,0,0.0,10,0,0.0
6C,0,0,,2,0,0.0
